refrenc,ID,CVE_ID,repo,owner,hash,language
https://github.com/tracto2/Tracto-ERC20/issues/1,135,CVE-2018-14063,Tracto-ERC20,tracto2,,JavaScript
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/CAPTOZ,136,CVE-2018-13617,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,137,CVE-2018-13617,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/TokenToken,138,CVE-2018-13503,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,139,CVE-2018-13503,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/safecomet/EtherTokens/blob/master/GROWCHAIN%20(GROW)/GROWCHAIN%20(GROW).md,140,CVE-2018-13325,EtherTokens,safecomet,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/HashShield,141,CVE-2018-13545,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,142,CVE-2018-13545,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/CCASH,143,CVE-2018-13546,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,144,CVE-2018-13546,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/ProvidenceCasinoToken,145,CVE-2018-13547,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,146,CVE-2018-13547,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/NeuroToken,147,CVE-2018-13549,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,148,CVE-2018-13549,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/ERC20,149,CVE-2018-13550,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,150,CVE-2018-13550,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/Bgamecoin,151,CVE-2018-13551,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,152,CVE-2018-13551,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/KelvinToken,153,CVE-2018-13560,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,154,CVE-2018-13560,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/ETH033,155,CVE-2018-13561,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,156,CVE-2018-13561,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/BMVCoin,157,CVE-2018-13562,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,158,CVE-2018-13562,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/RETNToken,159,CVE-2018-13566,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,160,CVE-2018-13566,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/SDR,161,CVE-2018-13567,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,162,CVE-2018-13567,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/MktCoin,163,CVE-2018-13568,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,164,CVE-2018-13568,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/HitToken,165,CVE-2018-13569,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,166,CVE-2018-13569,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/ICO,167,CVE-2018-13570,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,168,CVE-2018-13570,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/YESToken,169,CVE-2018-13575,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,170,CVE-2018-13575,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/ForeverCoin,171,CVE-2018-13579,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,172,CVE-2018-13579,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/PVE,173,CVE-2018-13580,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,174,CVE-2018-13580,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/My2Token,175,CVE-2018-13582,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,176,CVE-2018-13582,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/Shmoo,177,CVE-2018-13583,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,178,CVE-2018-13583,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/CHERRYCOIN,179,CVE-2018-13585,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,180,CVE-2018-13585,EtherTokens,BlockChainsSecurity,,NULL
